web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1578845516-1106,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,EFS,It's Super Special Awesome Ultra Mega Sexy,"Reviewed in the United States on July 2, 2019","What a wonderful phone, the fingerprint reader is awesome. A huge upgrade from my previous phone, so far I have not had any technical issues with my phone, everything seems to be working smoothly. I really love the storage capacity. Best of all is the camera.",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845519-1111,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Alfredo Palacios,Ok,"Reviewed in the United States on May 9, 2019",Ok,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845521-1127,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ken muchemi,Save your money.,"Reviewed in the United States on August 20, 2019","This phone keeps dropping calls and cutting out for 5-10 seconds when in use. When you call someone sitting right next to you, or have them call you, the call will not go through. Return to sender.",1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845545-1215,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Horacio C.,Not Working as Expected,"Reviewed in the United States on July 12, 2019","Muy lento comparado con otros modelos lite, me parece muy caro para el telefono que es.",1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
1578845519-1119,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jeffrey Monahan,Amazing smart phone and great price,"Reviewed in the United States on November 3, 2019",Picked this up for the girlfriend! She loves it and loves the fact it doesn't look like everyone else's and is unique and it works flawlessly. Great camera and great reception and battery life!,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845547-1221,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Alfonso García,No es lo que esperaba,"Reviewed in the United States on July 8, 2019",Creo que podría mejorar esta en gamma media baja,3,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1578845523-1134,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,KK,Huawei is Number One!,"Reviewed in the United States on July 18, 2019","I actually bout two for my family. The Huawei phones ta much, much better pictures than any phone out there. I own all Huawei phones and they are the finest phons out there no questions asked. The usgovernment has a very stupid position on these remarkable phones",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845519-1116,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Michael DL. Partosa,Awesome poduct,"Reviewed in the United States on May 5, 2019","Product info as advertised, like the screen resolution",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845550-1238,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,godza,P30 lite,"Reviewed in the United States on November 16, 2019",Good buy!,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
1578845552-1247,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,daniel p.,Satksfecho,"Reviewed in the United States on December 17, 2019",Buenazo,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
1578845519-1113,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cami M.,P30 lite,"Reviewed in the United States on September 26, 2019",Me encantó superó totalmente todas mis expectativas ??,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845547-1230,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Maggy,La seriedad,"Reviewed in the United States on July 23, 2019",Llegó antes del tiempo establecido y en muy buenas condiciones.,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1578845533-1174,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,xavier robinson,Best $300 phone,"Reviewed in the United States on June 24, 2019",Best phone I've ever held. Better than the iPhone x.,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews
1578845528-1153,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,jennifer Bain,Great buy,"Reviewed in the United States on January 9, 2020",Bought this for my husband & he is loving every bit of it .,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845552-1243,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Herney Mora,Excelen,"Reviewed in the United States on June 13, 2019",Good,4,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
1578845547-1227,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mikka E. Manalo,The box arrived empty!!,"Reviewed in the United States on January 6, 2020",I received the phone box opened and without the phone!,1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1578845540-1195,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,carlos,Great phone,"Reviewed in the United States on December 9, 2019",Great security and the battery lasts me all day the camera quality is defend but you can't expect more at this price point,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
